#Latitude (decimal degrees):	55.009
#Longitude (decimal degrees):	12.141
#Elevation (m):	40
#Radiation database:	PVGIS-SARAH2
#Slope: 20 deg. 
#Azimuth: 0 deg. 
#Nominal power of the PV system (c-Si) (kWp):	1.0
#System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,3.79,7.31,0.0
20200101:0111,0.0,0.0,0.0,3.88,7.31,0.0
20200101:0211,0.0,0.0,0.0,4.07,7.03,0.0
20200101:0311,0.0,0.0,0.0,4.28,7.03,0.0
20200101:0411,0.0,0.0,0.0,4.49,7.31,0.0
20200101:0511,0.0,0.0,0.0,4.68,7.59,0.0
20200101:0611,0.0,0.0,0.0,4.81,7.45,0.0
20200101:0711,0.0,0.0,0.0,4.78,7.24,0.0
20200101:0811,0.49,6.83,2.69,4.74,7.31,0.0
20200101:0911,4.02,13.66,7.62,4.86,7.79,0.0
20200101:1011,91.94,120.85,10.8,4.62,8.0,0.0
20200101:1111,134.17,167.67,11.98,4.71,8.14,0.0
20200101:1211,112.28,143.61,11.05,4.73,8.21,0.0
20200101:1311,47.24,70.03,8.11,4.72,8.41,0.0
20200101:1411,0.0,4.88,3.38,4.6,8.48,0.0
20200101:1511,0.0,0.0,0.0,4.41,8.48,0.0
20200101:1611,0.0,0.0,0.0,4.24,8.21,0.0
20200101:1711,0.0,0.0,0.0,3.96,8.28,0.0
20200101:1811,0.0,0.0,0.0,3.65,8.14,0.0
20200101:1911,0.0,0.0,0.0,3.31,7.52,0.0
20200101:2011,0.0,0.0,0.0,2.96,7.03,0.0
20200101:2111,0.0,0.0,0.0,2.84,6.83,0.0
20200101:2211,0.0,0.0,0.0,2.44,6.28,0.0
20200101:2311,0.0,0.0,0.0,2.5,6.9,0.0
20200102:0011,0.0,0.0,0.0,2.53,7.1,0.0
20200102:0111,0.0,0.0,0.0,2.51,7.24,0.0
20200102:0211,0.0,0.0,0.0,2.54,7.59,0.0
20200102:0311,0.0,0.0,0.0,2.45,7.79,0.0
20200102:0411,0.0,0.0,0.0,2.39,8.21,0.0
20200102:0511,0.0,0.0,0.0,2.3,8.69,0.0
20200102:0611,0.0,0.0,0.0,2.19,8.83,0.0
20200102:0711,0.0,0.0,0.0,2.05,8.83,0.0
20200102:0811,1.91,9.76,2.73,1.89,8.97,0.0
20200102:0911,50.82,73.52,7.67,1.77,9.31,0.0
20200102:1011,16.28,31.22,10.87,1.93,8.69,0.0
20200102:1111,28.62,46.83,12.06,1.91,8.62,0.0
